angle01,angle02,angle03,angle11,angle12,angle13,angle21,angle22,angle23,angle31,angle32,angle33,angle41,angle42,angle43,label_id
0.82,0.93,0.98,0.93,0.97,0.99,0.96,0.97,0.99,0.95,0.97,0.98,0.92,0.94,0.96,0
0.82,0.93,0.98,0.93,0.96,0.98,0.96,0.97,0.99,0.96,0.97,0.97,0.92,0.96,0.98,0
0.82,0.92,0.98,0.93,0.97,0.98,0.96,0.97,0.99,0.95,0.97,0.98,0.93,0.97,0.99,0
0.81,0.92,0.97,0.93,0.97,0.99,0.97,0.97,0.99,0.96,0.97,0.98,0.93,0.97,0.98,0
0.83,0.92,0.97,0.92,0.95,0.98,0.96,0.95,0.99,0.94,0.93,0.96,0.91,0.93,0.96,0
0.83,0.93,0.96,0.92,0.96,1,0.96,0.94,0.98,0.94,0.93,0.96,0.91,0.92,0.96,0
0.83,0.93,0.96,0.92,0.97,1,0.96,0.94,0.98,0.93,0.94,0.96,0.91,0.93,0.97,0
0.83,0.93,0.96,0.93,0.97,0.99,0.96,0.95,0.98,0.93,0.92,0.95,0.91,0.92,0.96,0
0.83,0.93,0.97,0.92,0.97,0.98,0.96,0.95,0.99,0.92,0.92,0.96,0.89,0.91,0.95,0
0.83,0.93,0.98,0.92,0.97,0.99,0.96,0.95,0.98,0.92,0.93,0.95,0.9,0.92,0.96,0
0.83,0.93,0.97,0.91,0.97,0.99,0.95,0.95,0.98,0.92,0.92,0.94,0.89,0.9,0.94,0
0.83,0.94,0.98,0.92,0.97,0.99,0.95,0.95,0.98,0.92,0.92,0.94,0.91,0.91,0.94,0
0.84,0.94,0.97,0.92,0.97,0.99,0.95,0.95,0.97,0.91,0.91,0.93,0.89,0.89,0.93,0
0.85,0.94,0.97,0.93,0.98,0.99,0.95,0.96,0.97,0.91,0.92,0.93,0.88,0.9,0.93,0
0.85,0.93,0.97,0.92,0.97,0.99,0.95,0.96,0.97,0.91,0.93,0.94,0.88,0.91,0.96,0
0.85,0.94,0.97,0.93,0.96,0.99,0.96,0.95,0.98,0.91,0.94,0.96,0.88,0.92,0.96,0
0.85,0.94,0.96,0.92,0.96,0.98,0.96,0.95,0.97,0.91,0.93,0.94,0.88,0.91,0.96,0
